,jobTitle,skill1,skill2,skill3,skill4,skill5,skill6,jobDescription,Activity,Activite1,Activite2,Activite3,Activite4,Activite5,Activite6,Activite7,Activite8,Activite9,Activite10,skills
250,Data Scientist,Machine Learning,Deep Learning,Natural Language Processing (NLP),Business Intelligence (BI),Microsoft Power BI,Recurrent Neural Networks (RNN),Build an application to readily extract information from balance sheets using optical character recognition (OCR) leading to lowering agents的 work time by ~10 minutes per sheet.,['Build an application to readily extract information from balance sheets using optical character recognition (OCR) leading to lowering agents的 work time by ~10 minutes per sheet.'],Build an application to readily extract information from balance sheets using optical character recognition (OCR) leading to lowering agents的 work time by ~10 minutes per sheet.,,,,,,,,,,"['Machine Learning', 'Deep Learning', 'Natural Language Processing (NLP)', 'Business Intelligence (BI)', 'Microsoft Power BI', 'Recurrent Neural Networks (RNN)']"
251,Data Engineer Trainee,OpenCV,Django REST Framework,FaceNet,YOLO,CNN,NLP,"• Creating a real time insights visualization dashboards for a pharmaceutic company to monitor the critical parameters of her machines, general intelligent, anomaly scores and alarms to anticipate problems and reduce human supervision.
• Deploying the solution in different Azure VMs using Ansible.","['• Creating a real time insights visualization dashboards for a pharmaceutic company to monitor the critical parameters of her machines, general intelligent, anomaly scores and alarms to anticipate problems and reduce human supervision.', '• Deploying the solution in different Azure VMs using Ansible.']","• Creating a real time insights visualization dashboards for a pharmaceutic company to monitor the critical parameters of her machines, general intelligent, anomaly scores and alarms to anticipate problems and reduce human supervision.",• Deploying the solution in different Azure VMs using Ansible.,,,,,,,,,"['OpenCV', 'Django REST Framework', 'FaceNet', 'YOLO', 'CNN', 'NLP']"
252,Senior Consultant,Problem Solving,Conflict Management,Communication,TensorFlow,Analytical Skills,Data Science,Skills: Problem Solving · Communication · Analytic Skills,['Skills: Problem Solving · Communication · Analytic Skills'],Skills: Problem Solving · Communication · Analytic Skills,,,,,,,,,,"['Problem Solving', 'Conflict Management', 'Communication', 'TensorFlow', 'Analytical Skills', 'Data Science']"
253,Machine Learning Operations intern ,MLOps,Amazon Web Services (AWS),Statistical Data Analysis,Data Science,Data Management,Data preprocessing,Skills: MLOps · Amazon Web Services (AWS) · Python (Programming Language) · Machine Learning,['Skills: MLOps · Amazon Web Services (AWS) · Python (Programming Language) · Machine Learning'],Skills: MLOps · Amazon Web Services (AWS) · Python (Programming Language) · Machine Learning,,,,,,,,,,"['MLOps', 'Amazon Web Services (AWS)', 'Statistical Data Analysis', 'Data Science', 'Data Management', 'Data preprocessing']"
254,PhD student,Machine Learning,Deep Learning,Python,Data Mining,Business Intelligence,Statistics,unknown,['unknown'],unknown,,,,,,,,,,"['Machine Learning', 'Deep Learning', 'Python', 'Data Mining', 'Business Intelligence', 'Statistics']"
255,Lead Data Scientist,Computer Science,Data Science,English,Machine Learning,Deep Learning,TensorFlow,unknown,['unknown'],unknown,,,,,,,,,,"['Computer Science', 'Data Science', 'English', 'Machine Learning', 'Deep Learning', 'TensorFlow']"
256,Full stack data engineer,R,pandas,cloudera,SQL,MySQL,keras,unknown,['unknown'],unknown,,,,,,,,,,"['R', 'pandas', 'cloudera', 'SQL', 'MySQL', 'keras']"
257,Data Scientist,Python,Machine Learning,Amazon Web Services (AWS),Natural Language Processing (NLP),Statistical Data Analysis,Data Analysis,Skills: Python · Machine Learning · Amazon Web Services (AWS) · Natural Language Processing (NLP) · Apache Spark,['Skills: Python · Machine Learning · Amazon Web Services (AWS) · Natural Language Processing (NLP) · Apache Spark'],Skills: Python · Machine Learning · Amazon Web Services (AWS) · Natural Language Processing (NLP) · Apache Spark,,,,,,,,,,"['Python', 'Machine Learning', 'Amazon Web Services (AWS)', 'Natural Language Processing (NLP)', 'Statistical Data Analysis', 'Data Analysis']"
258,Data Scientist,Python (Programming Language),Organization Skills,Team Leadership,Microsoft Office,Dataiku DSS,Teamwork,"- Exploring methods to handle imbalanced data
- Tuning hyperparameters of XGBoost Classify using hyperopt
- Exploring Imputation techniques 
- Refactoring code: using Pydantic library instead of dataclass... 
- Creating workflow using docker and apache-airflow","['- Exploring methods to handle imbalanced data', '- Tuning hyperparameters of XGBoost Classify using hyperopt', '- Exploring Imputation techniques ', '- Refactoring code: using Pydantic library instead of dataclass... ', '- Creating workflow using docker and apache-airflow']",- Exploring methods to handle imbalanced data,- Tuning hyperparameters of XGBoost Classify using hyperopt,- Exploring Imputation techniques ,- Refactoring code: using Pydantic library instead of dataclass... ,- Creating workflow using docker and apache-airflow,,,,,,"['Python (Programming Language)', 'Organization Skills', 'Team Leadership', 'Microsoft Office', 'Dataiku DSS', 'Teamwork']"
259,Software Developer,Research,JavaScript,Software Development,Front-End Development,Full-Stack Development,Multilingual,unknown,['unknown'],unknown,,,,,,,,,,"['Research', 'JavaScript', 'Software Development', 'Front-End Development', 'Full-Stack Development', 'Multilingual']"
260,Retail Consultant/ Data Engineer,Microsoft Office,Microsoft Power BI,Microsoft PowerPoint,SQL,Python,Teamwork,unknown,['unknown'],unknown,,,,,,,,,,"['Microsoft Office', 'Microsoft Power BI', 'Microsoft PowerPoint', 'SQL', 'Python', 'Teamwork']"
261,Developer/Developer of operating solutions/ Data Scientist,Python,Java,Angular,C++,SQL,Oracle Database,unknown,['unknown'],unknown,,,,,,,,,,"['Python', 'Java', 'Angular', 'C++', 'SQL', 'Oracle Database']"
262,Consultant MS Dynamics NAV/BC,IBM Watson,Hadoop,SQL No,Apache Storm,Apache Spark,Microsoft BI Suite,unknown,['unknown'],unknown,,,,,,,,,,"['IBM Watson', 'Hadoop', 'SQL No', 'Apache Storm', 'Apache Spark', 'Microsoft BI Suite']"
263,Data Analyst,Analytical Skills,Mathematics,Python (Programming Language),Data Analysis,Oracle Database,Java,unknown,['unknown'],unknown,,,,,,,,,,"['Analytical Skills', 'Mathematics', 'Python (Programming Language)', 'Data Analysis', 'Oracle Database', 'Java']"
264,Data consultant,Machine Learning,Big Data,Data mining,Python,Deep learning,Time series,unknown,['unknown'],unknown,,,,,,,,,,"['Machine Learning', 'Big Data', 'Data mining', 'Python', 'Deep learning', 'Time series']"
265,Data Scientist,Machine Learning,SQL,Artificial Intelligence (AI),Java,Data Analysis,Financial Analysis,unknown,['unknown'],unknown,,,,,,,,,,"['Machine Learning', 'SQL', 'Artificial Intelligence (AI)', 'Java', 'Data Analysis', 'Financial Analysis']"
266,Machine Learning Engineer,Python,Machine Learning,Natural Language Processing (NLP),SAS programming,Project management,C++,unknown,['unknown'],unknown,,,,,,,,,,"['Python', 'Machine Learning', 'Natural Language Processing (NLP)', 'SAS programming', 'Project management', 'C++']"
267,Blogger,Python,machine learning,R,Machine Learning,Java,C++,"A blog about AI, Machine Learning, and practical topics.
https://jouini-ghada1.medium.com/","['A blog about AI, Machine Learning, and practical topics.', 'https://jouini-ghada1.medium.com/']","A blog about AI, Machine Learning, and practical topics.",https://jouini-ghada1.medium.com/,,,,,,,,,"['Python', 'machine learning', 'R', 'Machine Learning', 'Java', 'C++']"
268,SAP BI Support Engineer,Java,MySQL,Machine Learning,Deep Learning,Symfony,Python (Programming Language),Skills: SAP BI,['Skills: SAP BI'],Skills: SAP BI,,,,,,,,,,"['Java', 'MySQL', 'Machine Learning', 'Deep Learning', 'Symfony', 'Python (Programming Language)']"
269,SAP Retail functional consultant ,SAP S/4HANA,Machine learning,Business Intelligence (BI),Big Data,Artificial Intelligence,Deep Learning,unknown,['unknown'],unknown,,,,,,,,,,"['SAP S/4HANA', 'Machine learning', 'Business Intelligence (BI)', 'Big Data', 'Artificial Intelligence', 'Deep Learning']"
270,Cost Engineer and Consulting,Microsoft Excel,Python (programming language),Automatic learning,Study of time series,RNN,Pandas (software),"Develop a unique benchmarking solution that helps customers find the best compromise between technology and cost priorities, supporting projects through the product life cycle, from concept development to optimization serial costs.","['Develop a unique benchmarking solution that helps customers find the best compromise between technology and cost priorities, supporting projects through the product life cycle, from concept development to optimization serial costs.']","Develop a unique benchmarking solution that helps customers find the best compromise between technology and cost priorities, supporting projects through the product life cycle, from concept development to optimization serial costs.",,,,,,,,,,"['Microsoft Excel', 'Python (programming language)', 'Automatic learning', 'Study of time series', 'RNN', 'Pandas (software)']"
271,Data Engineer,Machine Learning,Deep Learning,Artificial Intelligence,Data Analysis,Business Intelligence (BI),Computer Vision,Data Engineer part of the food catalog team,['Data Engineer part of the food catalog team'],Data Engineer part of the food catalog team,,,,,,,,,,"['Machine Learning', 'Deep Learning', 'Artificial Intelligence', 'Data Analysis', 'Business Intelligence (BI)', 'Computer Vision']"
272,BIG DATA & KUBERNETES TECHNICAL SOLUTION ARCHITECT,Big data,Hadoop,Apache Spark,Java,Machine Learning,Cloud,"•Directly engage with customers to design and implement solutions including designing architectures and implementing solutions 
•Design solution and technical design documentation 
•Provides feedback to the Product management team
•Help customers migrate and/or build workloads towards production in the Ezmeral container Platform
•Install & configure Ezmeral Container platform 
•Install & configure Ezmeral Data fabric 
•Estimate load and build customer needs 
•Organize Calls, meetings and workshops 
•Guide customers - technical architecture and investments
•AI/BIG Data uses cases implementation (including GPU) on Kubernetes environment 
•Work with Sales team to identify the right solution for customer need and response to customer request for proposal 

•Technologies: Kubernetes, Docker, HPE EZMERAL container platform, HPE Ezmeral data fabric(ex MAPR), Spar on Kubernetes (spark Operator), ML-OPS, Hive, Drill, AWS, HPE Ezmeral Data Fabric Database, HPE Ezmeral Data Fabric Event Data Streams, Kubeflow, ArgoCD, GIT, TensorFlow, Seldon IO, MinIO, Grafana, Prometheus, Kibana","['•Directly engage with customers to design and implement solutions including designing architectures and implementing solutions ', '•Design solution and technical design documentation ', '•Provides feedback to the Product management team', '•Help customers migrate and/or build workloads towards production in the Ezmeral container Platform', '•Install & configure Ezmeral Container platform ', '•Install & configure Ezmeral Data fabric ', '•Estimate load and build customer needs ', '•Organize Calls, meetings and workshops ', '•Guide customers - technical architecture and investments', '•AI/BIG Data uses cases implementation (including GPU) on Kubernetes environment ', '•Work with Sales team to identify the right solution for customer need and response to customer request for proposal ', '', '•Technologies: Kubernetes, Docker, HPE EZMERAL container platform, HPE Ezmeral data fabric(ex MAPR), Spar on Kubernetes (spark Operator), ML-OPS, Hive, Drill, AWS, HPE Ezmeral Data Fabric Database, HPE Ezmeral Data Fabric Event Data Streams, Kubeflow, ArgoCD, GIT, TensorFlow, Seldon IO, MinIO, Grafana, Prometheus, Kibana']",•Directly engage with customers to design and implement solutions including designing architectures and implementing solutions ,•Design solution and technical design documentation ,•Provides feedback to the Product management team,•Help customers migrate and/or build workloads towards production in the Ezmeral container Platform,•Install & configure Ezmeral Container platform ,•Install & configure Ezmeral Data fabric ,•Estimate load and build customer needs ,"•Organize Calls, meetings and workshops ",•Guide customers - technical architecture and investments,•AI/BIG Data uses cases implementation (including GPU) on Kubernetes environment ,"['Big data', 'Hadoop', 'Apache Spark', 'Java', 'Machine Learning', 'Cloud']"
273,Data Engineer,Data Cleaning,Data Visualization,Business Intelligence,Big Data,Data Science,python,unknown,['unknown'],unknown,,,,,,,,,,"['Data Cleaning', 'Data Visualization', 'Business Intelligence', 'Big Data', 'Data Science', 'python']"
274,Atlassian consultant,Agile Project Management,Jira,Confluence,Python (Programming Language),Agile Methodologies,Communication,Skills: Agile Project Management · Jira · Confluence · Agile Methodologies,['Skills: Agile Project Management · Jira · Confluence · Agile Methodologies'],Skills: Agile Project Management · Jira · Confluence · Agile Methodologies,,,,,,,,,,"['Agile Project Management', 'Jira', 'Confluence', 'Python (Programming Language)', 'Agile Methodologies', 'Communication']"
275,Software Engineer,Scrum,Databases,Jira,Linux,Data Science,Deep Learning,"• Analyze and elaborate requirements specifications for customers ‘requests.
• Design and implementation of new functions.
• Perform unit tests.
• Support and functional support.
Keywords: Python, JAVA, PL/SQL, SCRUM, Shell Scripting, JIRA,UBIX","['• Analyze and elaborate requirements specifications for customers ‘requests.', '• Design and implementation of new functions.', '• Perform unit tests.', '• Support and functional support.', 'Keywords: Python, JAVA, PL/SQL, SCRUM, Shell Scripting, JIRA,UBIX']",• Analyze and elaborate requirements specifications for customers ‘requests.,• Design and implementation of new functions.,• Perform unit tests.,• Support and functional support.,"Keywords: Python, JAVA, PL/SQL, SCRUM, Shell Scripting, JIRA,UBIX",,,,,,"['Scrum', 'Databases', 'Jira', 'Linux', 'Data Science', 'Deep Learning']"
276,Data Engineering Internal,SQL,Java,JavaScript,Python,C,C++,"Analyzed and integrated complex data sources. (e.g. OpenData
portals, UNODC)
Build reliable data pipelines to move data from the web to our
infrastructure and Deploy it.
Cleaned and transformed datasets to be used directly for data
Driven projects.
KEYWORDS: Python, Pandas, SQL, BeautifulSoup, Docker and
Kubernetes.","['Analyzed and integrated complex data sources. (e.g. OpenData', 'portals, UNODC)', 'Build reliable data pipelines to move data from the web to our', 'infrastructure and Deploy it.', 'Cleaned and transformed datasets to be used directly for data', 'Driven projects.', 'KEYWORDS: Python, Pandas, SQL, BeautifulSoup, Docker and', 'Kubernetes.']",Analyzed and integrated complex data sources. (e.g. OpenData,"portals, UNODC)",Build reliable data pipelines to move data from the web to our,infrastructure and Deploy it.,Cleaned and transformed datasets to be used directly for data,Driven projects.,"KEYWORDS: Python, Pandas, SQL, BeautifulSoup, Docker and",Kubernetes.,,,"['SQL', 'Java', 'JavaScript', 'Python', 'C', 'C++']"
277,Data Architect,Business Intelligence,Microsoft Power BI,Data Analysis,Consulting,Business Analysis,Project Management,"# Context
Continuous optimization of the Data Global model for the Healthcare Data Warehouse.
Analysis, Conception and integration of the data sources into a new model.

# Activities
* Analysis of the existing Data models, Data Sources, and Data flow. 
* Understanding of the different business processes and the business requirements for each entity and the interaction between different entities and different applications on the Data layer and the reporting layer
* Detecting the issue within the existance models and offer alternatives to improve the performance and the data quality within the new models. 
* Planning and estimates for the Data Team within the different project phases. 
* Modeling (Entity Relationship Models, Conceptual Data Models, Logical Data Models)
* Mapping and Documentation of Data Warehouse Componenets 
* Work with the Data Architecture Team to look in different strategies for future business needs.

# Environment
Data Modeling (Erwin, Kimball), Data Marts, Functional Architecture, MS Azure, SQL Server, SAS","['# Context', 'Continuous optimization of the Data Global model for the Healthcare Data Warehouse.', 'Analysis, Conception and integration of the data sources into a new model.', '', '# Activities', '* Analysis of the existing Data models, Data Sources, and Data flow. ', '* Understanding of the different business processes and the business requirements for each entity and the interaction between different entities and different applications on the Data layer and the reporting layer', '* Detecting the issue within the existance models and offer alternatives to improve the performance and the data quality within the new models. ', '* Planning and estimates for the Data Team within the different project phases. ', '* Modeling (Entity Relationship Models, Conceptual Data Models, Logical Data Models)', '* Mapping and Documentation of Data Warehouse Componenets ', '* Work with the Data Architecture Team to look in different strategies for future business needs.', '', '# Environment', 'Data Modeling (Erwin, Kimball), Data Marts, Functional Architecture, MS Azure, SQL Server, SAS']",# Context,Continuous optimization of the Data Global model for the Healthcare Data Warehouse.,"Analysis, Conception and integration of the data sources into a new model.",,# Activities,"* Analysis of the existing Data models, Data Sources, and Data flow. ",* Understanding of the different business processes and the business requirements for each entity and the interaction between different entities and different applications on the Data layer and the reporting layer,* Detecting the issue within the existance models and offer alternatives to improve the performance and the data quality within the new models. ,* Planning and estimates for the Data Team within the different project phases. ,"* Modeling (Entity Relationship Models, Conceptual Data Models, Logical Data Models)","['Business Intelligence', 'Microsoft Power BI', 'Data Analysis', 'Consulting', 'Business Analysis', 'Project Management']"
278, LoRa/LoRaWAN Engineer,Statistics,Wireless engineering,Data visualization,Statistical modelling,Data partitioning,Data engineering,"- Configuration of LoRa® device
- Provisioning and analysis of device operation on Live Objects.
- Data collection via portal mode, via API mode and data routing on a server via http Push and MQTT protocols.","['- Configuration of LoRa® device', '- Provisioning and analysis of device operation on Live Objects.', '- Data collection via portal mode, via API mode and data routing on a server via http Push and MQTT protocols.']",- Configuration of LoRa® device,- Provisioning and analysis of device operation on Live Objects.,"- Data collection via portal mode, via API mode and data routing on a server via http Push and MQTT protocols.",,,,,,,,"['Statistics', 'Wireless engineering', 'Data visualization', 'Statistical modelling', 'Data partitioning', 'Data engineering']"
279,Pega Consultant,Pega,Big Data,Machine learning,Decision-making informatics,Scrum,Project management,"Customer: Zatca, 
Role: PEGA SSA,
Duration: 6 months,
Rental: KSA,
Environment: Pega V8.3
Description:
The main objective of the mission: development, optimization and support work according to the customer's specifications.
Responsibilities and contributions:
● Identity and model processes life cycles using flows and flows actions.
● Apply Pega's principals and implementation Backend rules: Activities, Data transformations, When rules...
● Create Data and work classes.
● Design portals and implementation their matching user interfaces.
● Optimize and develop Sections using different types of layouts.

Key Words: flow, flow actions, Activities, Data transforms, When rules, Data and work classes, portals, Sections, Layouts","['Customer: Zatca, ', 'Role: PEGA SSA,', 'Duration: 6 months,', 'Rental: KSA,', 'Environment: Pega V8.3', 'Description:', ""The main objective of the mission: development, optimization and support work according to the customer's specifications."", 'Responsibilities and contributions:', '● Identity and model processes life cycles using flows and flows actions.', ""● Apply Pega's principals and implementation Backend rules: Activities, Data transformations, When rules..."", '● Create Data and work classes.', '● Design portals and implementation their matching user interfaces.', '● Optimize and develop Sections using different types of layouts.', '', 'Key Words: flow, flow actions, Activities, Data transforms, When rules, Data and work classes, portals, Sections, Layouts']","Customer: Zatca, ","Role: PEGA SSA,","Duration: 6 months,","Rental: KSA,",Environment: Pega V8.3,Description:,"The main objective of the mission: development, optimization and support work according to the customer's specifications.",Responsibilities and contributions:,● Identity and model processes life cycles using flows and flows actions.,"● Apply Pega's principals and implementation Backend rules: Activities, Data transformations, When rules...","['Pega', 'Big Data', 'Machine learning', 'Decision-making informatics', 'Scrum', 'Project management']"
280,Technical Analyst,React.js,Express.js,Google Maps API,Redux.js,Node.js,Chrome Developer Tools,"Project: design and implantion of fullstack application for real estate renting using google maps service with controllable radius centered at the user
Team: 3 people.
Tasks:
▪ Identifying technical requirements and conceptual design to create day-to-day Tasks.
▪ Scrum-master and team framework.
▪ Code review and code rest management.
▪ FrontEnd and BackEnd development:
o Javascrip modules, templates, routers and components.
o Models, routers and middlewares.
o Data migration.
▪ Functional test and Unit receipt.
▪ Writing documentation.
Environment:
• Techno & Languages: JS ES6, HTML, CSS.
• Supporting Libraries: Bootstrap, Google Maps API, ExpressJS, Redux
• Servers & Source Code Management: nodeJS, Git, NPM
• IDE & Tools: VSCode, Chrome dev, Postman, Redux DevTools
• DB: MongoDB","['Project: design and implantion of fullstack application for real estate renting using google maps service with controllable radius centered at the user', 'Team: 3 people.', 'Tasks:', '▪ Identifying technical requirements and conceptual design to create day-to-day Tasks.', '▪ Scrum-master and team framework.', '▪ Code review and code rest management.', '▪ FrontEnd and BackEnd development:', 'o Javascrip modules, templates, routers and components.', 'o Models, routers and middlewares.', 'o Data migration.', '▪ Functional test and Unit receipt.', '▪ Writing documentation.', 'Environment:', '• Techno & Languages: JS ES6, HTML, CSS.', '• Supporting Libraries: Bootstrap, Google Maps API, ExpressJS, Redux', '• Servers & Source Code Management: nodeJS, Git, NPM', '• IDE & Tools: VSCode, Chrome dev, Postman, Redux DevTools', '• DB: MongoDB']",Project: design and implantion of fullstack application for real estate renting using google maps service with controllable radius centered at the user,Team: 3 people.,Tasks:,▪ Identifying technical requirements and conceptual design to create day-to-day Tasks.,▪ Scrum-master and team framework.,▪ Code review and code rest management.,▪ FrontEnd and BackEnd development:,"o Javascrip modules, templates, routers and components.","o Models, routers and middlewares.",o Data migration.,"['React.js', 'Express.js', 'Google Maps API', 'Redux.js', 'Node.js', 'Chrome Developer Tools']"
281,AI Analyst,Data Science,machine learning,Deep learning,Computer Vision,Data Mining,Big Data,unknown,['unknown'],unknown,,,,,,,,,,"['Data Science', 'machine learning', 'Deep learning', 'Computer Vision', 'Data Mining', 'Big Data']"
282,Data Scientist,Python (Programming Language),Table,Machine Learning,marketing,Project Management,Brand Management,unknown,['unknown'],unknown,,,,,,,,,,"['Python (Programming Language)', 'Table', 'Machine Learning', 'marketing', 'Project Management', 'Brand Management']"
283,Integration Engineer,Big Data,Business intelligence,Data Mining,Python (Programming Language),Data Analysis,Data Warehousing,unknown,['unknown'],unknown,,,,,,,,,,"['Big Data', 'Business intelligence', 'Data Mining', 'Python (Programming Language)', 'Data Analysis', 'Data Warehousing']"
284,Full Stack Developer,Full-Stack Development,Data Science,SQL,Machine learning,Data Analysis,Business Intelligence,unknown,['unknown'],unknown,,,,,,,,,,"['Full-Stack Development', 'Data Science', 'SQL', 'Machine learning', 'Data Analysis', 'Business Intelligence']"
285,Senior Data Scientist,Data Science,Machine Learning,Deep Learning,Statistics,Artificial Intelligence (AI),Navy,unknown,['unknown'],unknown,,,,,,,,,,"['Data Science', 'Machine Learning', 'Deep Learning', 'Statistics', 'Artificial Intelligence (AI)', 'Navy']"
286,Data consultant,Data mining,BI,Corporate finance,java,time series,Symfony,unknown,['unknown'],unknown,,,,,,,,,,"['Data mining', 'BI', 'Corporate finance', 'java', 'time series', 'Symfony']"
287,Technical Consultant,MySQL,Java,python,C,C++,C#,"Developed specific ERP solutions and modules in progress QAD
Developed back-end services
Database administration and data migration
Developed Business intelligence solutions in SQL/ Power BI","['Developed specific ERP solutions and modules in progress QAD', 'Developed back-end services', 'Database administration and data migration', 'Developed Business intelligence solutions in SQL/ Power BI']",Developed specific ERP solutions and modules in progress QAD,Developed back-end services,Database administration and data migration,Developed Business intelligence solutions in SQL/ Power BI,,,,,,,"['MySQL', 'Java', 'python', 'C', 'C++', 'C#']"
288,Data Scientist,Business Intelligence,Data Mining,R,Big data,Decision-making informatics,ETL,Mobile Networks - Supply Chain Digitalization & Architecture,['Mobile Networks - Supply Chain Digitalization & Architecture'],Mobile Networks - Supply Chain Digitalization & Architecture,,,,,,,,,,"['Business Intelligence', 'Data Mining', 'R', 'Big data', 'Decision-making informatics', 'ETL']"
289,Businnes intelligence consultant ,Analytical,Data analysis,Python,Decision-making informatics,Finance,R,"Project: Mobile application E-Polycor for POLYCOR.INC (QUEBEC).

Tasks:
-Development of a complete decision-making chain according to the Top-down process (Staging > ODS > DWH > DTM).
- Development of SSIS flows.
-Restitution of data via reports developed with PowerBI.
-Recipe of developments and conduct of change with users.
-Documentation.
 -Project management using Azure Devops (VTS)
 Technical Environment: SSIS, SSMS, POWER BI, DAX, T-SQL","['Project: Mobile application E-Polycor for POLYCOR.INC (QUEBEC).', '', 'Tasks:', '-Development of a complete decision-making chain according to the Top-down process (Staging > ODS > DWH > DTM).', '- Development of SSIS flows.', '-Restitution of data via reports developed with PowerBI.', '-Recipe of developments and conduct of change with users.', '-Documentation.', ' -Project management using Azure Devops (VTS)', ' Technical Environment: SSIS, SSMS, POWER BI, DAX, T-SQL']",Project: Mobile application E-Polycor for POLYCOR.INC (QUEBEC).,,Tasks:,-Development of a complete decision-making chain according to the Top-down process (Staging > ODS > DWH > DTM).,- Development of SSIS flows.,-Restitution of data via reports developed with PowerBI.,-Recipe of developments and conduct of change with users.,-Documentation., -Project management using Azure Devops (VTS)," Technical Environment: SSIS, SSMS, POWER BI, DAX, T-SQL","['Analytical', 'Data analysis', 'Python', 'Decision-making informatics', 'Finance', 'R']"
290,Senior Full Stack Web Developer,Java,MySQL,JavaScript,Angularjs,NodeJS,PHP,unknown,['unknown'],unknown,,,,,,,,,,"['Java', 'MySQL', 'JavaScript', 'Angularjs', 'NodeJS', 'PHP']"
291,Python Backend Developer,MongoDB,SQLAlchemy,Unit Testing,Flask,MySQL,R (Programming Language),"Prediko is an inventory optimization platform for ecommerce brands. We的re helping companies forecast their inventory needs to eliminate stock outs and excess inventory. We are backed up by Techstars and founders of Klarna, Checkout, and Nuxe.","['Prediko is an inventory optimization platform for ecommerce brands. We的re helping companies forecast their inventory needs to eliminate stock outs and excess inventory. We are backed up by Techstars and founders of Klarna, Checkout, and Nuxe.']","Prediko is an inventory optimization platform for ecommerce brands. We的re helping companies forecast their inventory needs to eliminate stock outs and excess inventory. We are backed up by Techstars and founders of Klarna, Checkout, and Nuxe.",,,,,,,,,,"['MongoDB', 'SQLAlchemy', 'Unit Testing', 'Flask', 'MySQL', 'R (Programming Language)']"
292,Data Scientist,Software Engineering Practices,Computer Science,Automated Software Testing,Software Testing,Learnable Evolutionary Algorithms,Simulations,unknown,['unknown'],unknown,,,,,,,,,,"['Software Engineering Practices', 'Computer Science', 'Automated Software Testing', 'Software Testing', 'Learnable Evolutionary Algorithms', 'Simulations']"
293,Data Scientist,Modeling,Natural Language Processing (NLP),Microsoft Excel,Objection Handling,Sales,Materials Science,Skills: Modeling · Natural Language Processing (NLP) · Machine Learning · Python (Programming Language),['Skills: Modeling · Natural Language Processing (NLP) · Machine Learning · Python (Programming Language)'],Skills: Modeling · Natural Language Processing (NLP) · Machine Learning · Python (Programming Language),,,,,,,,,,"['Modeling', 'Natural Language Processing (NLP)', 'Microsoft Excel', 'Objection Handling', 'Sales', 'Materials Science']"
294, Data Scientist,Artificial intelligence,Data science,Cloud Computing,Deep learning,machine learning,unknown,"• Automatic every step of machine learning to increase and improve Artificial intelligence solutions.
• I suggested using a Stable Diffusion model for image generation to sell it in the company's NFTs collection, which enhanced collection quantity and quality.","['• Automatic every step of machine learning to increase and improve Artificial intelligence solutions.', ""• I suggested using a Stable Diffusion model for image generation to sell it in the company's NFTs collection, which enhanced collection quantity and quality.""]",• Automatic every step of machine learning to increase and improve Artificial intelligence solutions.,"• I suggested using a Stable Diffusion model for image generation to sell it in the company's NFTs collection, which enhanced collection quantity and quality.",,,,,,,,,"['Artificial intelligence', 'Data science', 'Cloud Computing', 'Deep learning', 'machine learning', 'unknown']"
295,Web Manager,deepstream,Natural Language Toolkit (NLTK),Keras,TensorFlow,Decision-making informatics,Deep learning,Skills: Web development,['Skills: Web development'],Skills: Web development,,,,,,,,,,"['deepstream', 'Natural Language Toolkit (NLTK)', 'Keras', 'TensorFlow', 'Decision-making informatics', 'Deep learning']"
296,Insurance Underwriter ( P&C Insurance ),Decision-Making,Details orientated,Underwriting,Insurance,Property and Casualty Insurance,Logical Reasoning,Skills: Decision-Making · Detail oriented · Analytic Skills,['Skills: Decision-Making · Detail oriented · Analytic Skills'],Skills: Decision-Making · Detail oriented · Analytic Skills,,,,,,,,,,"['Decision-Making', 'Details orientated', 'Underwriting', 'Insurance', 'Property and Casualty Insurance', 'Logical Reasoning']"
297,Data Scientist,Machine Learning,Python (Programming Language),Data Analysis,iOS Development,Project Management,Android Development,unknown,['unknown'],unknown,,,,,,,,,,"['Machine Learning', 'Python (Programming Language)', 'Data Analysis', 'iOS Development', 'Project Management', 'Android Development']"
298,Digital Quality Engineer NLP ML,Python,Natural Language Processing,Machine Learning,Business Intelligence,Data Mining,Data Modeling,"Context: The vision of the Q&C organization requires raising emerging technologies in order to drive improved customer outcomes.
Activities:
- Drive the Q&C organization to build, execute and scale NLP projects in line with E2E digital strategy. 
- Managing a portfolio of NLP & AI projects delivering business value, including scaling projects into operations (MLOPS).
- Educate the Q&C organization on the possibilities of NLP.","['Context: The vision of the Q&C organization requires raising emerging technologies in order to drive improved customer outcomes.', 'Activities:', '- Drive the Q&C organization to build, execute and scale NLP projects in line with E2E digital strategy. ', '- Managing a portfolio of NLP & AI projects delivering business value, including scaling projects into operations (MLOPS).', '- Educate the Q&C organization on the possibilities of NLP.']",Context: The vision of the Q&C organization requires raising emerging technologies in order to drive improved customer outcomes.,Activities:,"- Drive the Q&C organization to build, execute and scale NLP projects in line with E2E digital strategy. ","- Managing a portfolio of NLP & AI projects delivering business value, including scaling projects into operations (MLOPS).",- Educate the Q&C organization on the possibilities of NLP.,,,,,,"['Python', 'Natural Language Processing', 'Machine Learning', 'Business Intelligence', 'Data Mining', 'Data Modeling']"
299,Full Stack Consultant,Java,Python,Big Data,Agile methods,Software development,Data analysis,unknown,['unknown'],unknown,,,,,,,,,,"['Java', 'Python', 'Big Data', 'Agile methods', 'Software development', 'Data analysis']"
