,jobTitle,skill1,skill2,skill3,skill4,skill5,skill6,jobDescription,headline,jobTitle2,jobDescription2,currentJob,pastJob,job
27,Software Engineer,Microsoft Word,SolidWorks,Web Design,Database Design,Graphic Design,Adobe Illustrator,unckown,Software Developer - DevOps/Cloud Engineering Student,Software Engineer Internal,unckown,unckown,unckown,unckown
28,Internship at the end of studies,C#,Computer networks,Network architecture,Cisco Networking,Routing,Kali Linux,"Setting up a SIEM (Honeypot, Thehie,Cortex,Misp)",Cloud COMPUTING & DevOps Student @ESPRIT,Trainee: refresher course ,Skills : Computer networks,unckown,unckown,unckown
29,Devops Engineer,React.js,Bitbucket,Node.js,Sonarqube,Jenkins,Docker products,Skills : Docker Products · Amazon Web Services · Git · Pipelines, Devops Engineer ,DevOps engineering Intern,unckown,unckown,unckown,unckown
30,Trainee,Research,Communication,Strategy,Leadership,unckown,unckown,unckown,"Cloud Computing Engineering Student, Vice Chairman of IEEE ESPRIT SIGHT Group",Trainee,unckown,unckown,unckown,unckown
31,Student,PL/SQL,Networking,CTF,English,Symfony Framework,Cascading Style Sheets (CSS),unckown,"Engineering Student at ESPRIT, Cybersecurity Technician Graduate from ISET'Com Tunis, Cybersecurity enthousiast, Cloud Computing & DevOps",Cyber Security Analyst,"End Of Studies' Graduation Project: The deployment and implementation of a Security Operations Center (SOC) via an open‐source software (SIEM) hosted in a cloud server to defend against cyberattacks.
Tools: SIEMonster,Docker, Cortex, The Hive, Suricata, MISP Framework, Elasticsearch.",unckown,unckown,unckown
32,Student trainee,Linux System Administration,Unified Modeling Language (UML),MySQL,JavaFX,PL/SQL,Scrum,unckown,Cloud Computing Engineering Student,Trainee,unckown,unckown,unckown,unckown
33,Cloud engineer,English,DevOps,Microsoft Azure,Grafana,Jenkins,Unix Administration,Skills : English · DevOps · Microsoft Azure · Grafana · Jenkins · Unix Administration,Cloud computing / DevOps engineering student ,PFE,unckown,unckown,unckown,unckown
34,Intern in Web Development,Docker,MySQL,Maven,Linux System Administration,Spring Boot,Symfony Framework,Skills : Maven · Spring Boot,Cloud computing engineering student,unckown,unckown,unckown,unckown,unckown
35,Student trainee,Ruby on Rails,Symfony Framework,Adobe Premiere Pro,unckown,unckown,unckown,unckown,Cloud Engineering Student,unckown,unckown,unckown,unckown,unckown
36,Trainee,JavaScript,docker,Python (programming language),VMware vCenter,Virtual machines,LowCode application,unckown,Student at Ecole Supérieure Privée d'Ingénierie et de Technologies - ESPRIT,Trainee,"Leave Management Application:
- Research on low-code platforms 
- Selection of the platform that meets the needs of the application
- Creation of the application
- Data automation",unckown,unckown,unckown
37,Mobile Developer internship,Google Kubernetes Engine (GKE),Amazon Web Services,Flutter,Angular,Spring Boot,Express.js,Summer internship: development of a mobile app (front + back) in gark for customer service management.,Cloud Computing Student, Software Developer internship,Summer internship of 6 weeks duration at Addixo Tunis in building desktop application (industry 4.0).,unckown,unckown,unckown
38,Cloud Computing Student,Volunteering,Oracle SQL Developer,Adobe Photoshop,PhpMyAdmin,Project Management,Strategy,unckown,Cloud Computing Engineering Student,unckown,unckown,unckown,unckown,unckown
39,Student,Amazon Web Services,Cloud Computing,NestJS,Angular,Symfony,PHP,unckown,Cloud Computing Student,Student,unckown,unckown,unckown,unckown
40,Cloud engineer,google G suite,Symfony Framework,GitHub,HTML,Bootstrap,JavaScript,"*Contributes to the updating of a private cloud provisioning, management and billing platform.
*Operation of the various cloud infrastructures as well as maintenance and monitoring of the server machines deployed in production.",Student engineer in cloud computing,Web developer,"*Contribution to the drafting of the specification for the official website of the box.
*Integrate a new template for the website.
*Improving the content and graphics of the website.",unckown,unckown,unckown
41,Internship network,PHP,css,C++,JavaScript,Unix,Engineering,unckown,Cloud Computing Student,unckown,unckown,unckown,unckown,unckown
42,Information Technology Instructor,Service-Oriented Architecture (SOA),System Administration,Microsoft Azure,Automation,Ansible,Initiation Cloud,Skills : Service-Oriented Architecture (SOA) · System Administration · Microsoft Azure · Automation · Cloud Computing,"DevOps Engineer, PhD in Cloud Computing, Professional & Academic Instructor, Cofounder @LearninGate",Technical Trainer,Skills : Initiation Cloud · Object-Oriented Programming (OOP) · Algorithms · Linux System Administration · Shell Scripting · Kubernetes · Docker Products,unckown,unckown,unckown
43,Cloud Intern / DevOps,CentOS,Ubuntu,OpenStack,docker,Kubernetes,Azure Kubernetes Service (AKS),unckown,Engineering student specializing in IT Architecture and Cloud Computing,Business Intelligence Practice Manager,unckown,unckown,unckown,unckown
44,Cloud Engineer & DevOps,Microsoft Azure,Linux,Helm,Azure Kubernetes Service (AKS),Azure DevOps,Git,"Project:
- Talenteo is a native SIRH Cloud solution that covers all HRD management processes: recruitment, training, careers, missions, editing and sending CVs, co-ops, monitoring and evaluation of consultants. The platform is developed with Angular side Front-End and Spring Boot side Back-End.

Objective:
- Automation of CI/CD channels to deploy a native SIRH Cloud solution called ""Talenteo"" on a cluster Kubernetes managed by Microsoft Azure (AKS) using Azure DevOps.

Tasks completed:
* Configure a pipeline to supply an Azure infrastructure using Terraform (AKS, Blob Storage, Azure Container Registry, Vnet and Subnets).
* Three namespaces were set up on AKS (Dev, Int, Prod).
* Deploy PostgreSQL in Statefulset on AKS using Helm and configure the schemas and users of the database.
* Dockerize the Back-End side micro-services (Spring Boot) with Jib and use a dockerfile to containerize the Front-End part (Angular 9).
* Template Kubernetes objects to deploy using Helm (Ingress, Deployments, Services, Secrets, TLS certificate).
* Implement the automated CI/CD chain for each microservice (from GitLab --> Azure DevOps pipelines Build --> Azure DevOps pipelines Release --> AKS).
* Ensure proper cost management on Azure (Kubecost).
* Create Pull Requests for major changes made to existing files in GitLab rest (git).

Technical stack:
- Ubuntu 20.04 LTS (Focal Fossa), Terraform (v0.12), Azure Cli, Kubernetes (v1.19.11), K9s, Helm (v3), Docker, Jib, Azure Portal, Azure DevOps, Azure Artifacts, maven, SonarQube, JaCoCo, Intellij IDE, VS Code, git, GitLab, AKS, Slack, Jira.",Enthusiastic Cloud & DevOps Engineer,Study completion project,"- Subject: Design and development of a real-time taxation simulator for voice and data traffic (based on the DIAMETER protocol).
- Tools: Seagull, Netbeans IDE 8.1, Power AMC.",unckown,unckown,unckown
45,Teacher,Cloud Computing,Analysis of algorithms,Distributed systems,Algorithms,Shell Scripting,Python,"Head of Educational Unit ""Operating System""",Teacher at Spirit,LES consultant,unckown,unckown,unckown,unckown
46,Trainee,Qt,Python (Programming Language),JavaFX,Shell Scripting,MySQL,Cascading Style Sheets (CSS),unckown,IT Architecture & Cloud Computing Student,unckown,unckown,unckown,unckown,unckown
47,Internal,Jenkins,Redmine,Gerrit,Git,Linux,Continuous Integration and Continuous Delivery (CI/CD),Skills: Jenkins · Redmine · Gerrit · Git · Linux · Continuous integration and delivery (CI/CD) · CentOS,Student at Ecole Supérieure Privée d'Ingénierie et de Technologies - ESPRIT的 DevOps & Cloud Computing and Aspring devops engineer,Summer Internship,"In order to complete a compulsory summer internship, I
designed and developed a web application for reporting incident severity based on the configuration of detection and analysis tools as well as the expertise of the detection and classification team.",unckown,unckown,unckown
48,DevOps Engineer and Cloud Architect,MySQL,Java,Linux,Symfony,C++,HTML5,unckown,DevOps Engineer and Cloud Architect Internal,IT Manager,unckown,unckown,unckown,unckown
49,unckown,Java,Sonarqube,GitHub,Maven,trivy,OPA,unckown,Cloud Computing Student,unckown,unckown,unckown,unckown,unckown
50,Web developer,Engineering,English,Communication,Strategy,Information technology,PHP,Development of a Taxation Solution for CUCM,Cloud Computing Student,Mobile Developer,Development of a mobile app for adventure and extreme sports activities in Tunisia.,unckown,unckown,unckown
51,Trainee,Unified Modeling Language (UML),GitLab,DevOps,Docker products,Prometheus.io,Kubernetes,"-Deploy applications using (Docker and HelmChart and Ubuntu)
-Open pods with kubernets
- use gitlab to ensure continuous integration
- use of ArgoCD to ensure continuous delivery",Cloud & DevOps Engineer Internal @insomea,Computer intern,unckown,unckown,unckown,unckown
52,DevOps engineer,Network administration,Team spirit,Linux System Administration,Critical Spirit,Sense of organization,unckown,unckown,DevOps & Cloud Computing Engineer,Trainee,unckown,unckown,unckown,unckown
53,Sap Advanced Business Application Programming Developer,English,unckown,unckown,unckown,unckown,unckown,unckown,DevOps & Cloud Computing Engineering Student,Full Stack Developer,unckown,unckown,unckown,unckown
54,DevOps Engineer,Infrastructure as code (IaC),Amazon Web Services (AWS),CI/CD,Gitlab,Google Cloud Platform (GCP),Google Kubernetes Engine (GKE),"Modernisation of Kubernetes resources - Best Practices
Migration to a Highly Available and Secure GKE Cluster
Monitoring stack : Prometheus Operator, Prometheus, Alertmanager, Grafana, Thanos...
Security stack: Certmanager, Letsencrypt...
Networking stack: Pomerium, Kubernetes Gateway API...",DevOps & Cloud Computing Engineer,DevOps Engineer,"Automated docking and deployment of MEAN stack, MERN stack and Django applications using Docker, GitLab CI/CD pipeline and AWS.",unckown,unckown,unckown
55,Web Development Internal,NestJS,Angular,Docker,Python,.NET framework,Java,"Working on the development and deployment of a micro service using
NestJS, Angular, MongoDB and Docker.",Engineering student - Cloud computing,Business intelligence intern,unckown,unckown,unckown,unckown
56,Student,.NET framework,RESTful web services,Spring Boot,OpenStack,C#,Database Management System (DBMS),unckown,Cloud Computing & DevOps student,PFE course,unckown,unckown,unckown,unckown
57,unckown,Engineering,PL/SQL,Vagrant (Software),Docker Products,Nexus,Sonarqube,unckown,Cloud Computing Student,unckown,unckown,unckown,unckown,unckown
58,Trainee,English,Engineering,Communication,Training,Problem solving,Leadership,unckown,QA Automation & Junior Cloud/DevOps Engineer,unckown,unckown,unckown,unckown,unckown
59,Cloud computing Engineer,Load Balancing,Gitlab,GitFlow,Nagios,VMware,VMware vSphere,"Part of ORANGE GROUP

Roles: 

System and support engineer 
Infrastructure and technical architecture engineering 
Networking and security engineering 
",Cloud Computing Engineer,DevOps intern,"Devops culture 

Implementation of a Gitlab based Pipeline 
Kubernetes / git / Gitlab / RedHat",unckown,unckown,unckown
60,Cloud Engineer,Big data,Business Intelligence,Amazon Web Services (AWS),Data Mining,Project management,Finance,unckown,Cloud Engineer,Data Analyst,"Through Workplace Intelligence Solutions, Measuremen collect data and report insights on the actual use of the workplace, work activities and employees health and wellbeing.
- Working extensively with different AWS services to manage and maintain our infrastructure
with a focus on AWS database offerings",unckown,unckown,unckown
61,Internal Cloud,python,c/,c++,Data analysis,SQL,Git,"Deploying an Edge AI with Nvidia Triton Inference Server, Kubernetes, Jetson Mate (face detection,age gender classification )","Cloud Engineering Student,ESPRIT",Embedded System internal,unckown,unckown,unckown,unckown
62,Frontend Developer,Infrastructure as a Service (IaaS),OpenStack,Full-stack development,Cloud Computing,Information Security,MEAN Stack,Development of a website for the mobile virtual clothing test application,DevOps & Cloud Computing Engineering Student,Mean Stack Developer,"Design and development of a 
registration platform, appointment making and 
online payment in state hospitals ""EspaceRDV""",unckown,unckown,unckown
63,IT Support Engineer,Amazon Web Services,Python (programming language),Communication,French,Flask,JavaScript,unckown,Cybersecurity & Cloud Computing Engineer,Trainee,"Developed a Cross-Account Cross-Region, Amazon AWS Dashboard to centralize EC2,RDS & S3 data, offering security recommendations based on a number of best practice rules.",unckown,unckown,unckown
64,Infrastructure Engineer,promiseheus,Grafana,AWS Lambda,Web Development,Cloud Computing,Computer Science,"Achievements/Tasks
• create and manage a Kubernetes cluster
• Set up Argo CD and exposes its service
• Set up Kubernetes Dashboard and exposes its service
• Set up Prometheus and exposes its service
• Set up Grafana and exposes its service",Cloud / DevOps Engineer teacher in AWS and Kubernetes,Migrating a platform to Kubernetes,"this internship is enrolled as part of our training as a computer engineer at The Private Higher School of Engineering
and Technology ""Esprit"".
This work is carried out within ProsperUs, which welcomed us for the realization of our project for a period of year year.
This final project is enrolled within the ""DevOps"" department.
In this project, we are going to migrate a ProsperUs platformfrom Amazon Elastic Compute
Cloud (ec2) to Kubernetes by building our Amazon EKS cluster, which is prepared for
Kubernetes deployment and convenient use in development and since Kubernetes is a
container orchestration platform, we need to first of all containerize our platform in order to be
Deployed to a cluster.",unckown,unckown,unckown
65,IT support & cloud computing,Apache Kafka,Azure DevOps,docker,Eyes of network,Windows Server,Packet Tracer,"- Support and troubleshooting on the wireless and switching range of Fortinet products
- Maintaining customer relations via phone or in person with various customers
- Installation/configuration/roubleshooting/testing of Thales proprietary applications
- Prepare upgrade plans for the customer's systems.
- Administering the cloud platform (Microsoft Azure) including IaaS,
- Administering Office 365",IT Architecture - Cloud Computing - DevOps engineer,DevOps engineer ,Integration between multi-component platform,unckown,unckown,unckown
66,Computer Technician,System administration,CentOS 7,Ubuntu,PL/SQL,MySQL,Java,Skills : Computer repairs · Computer networks,Cloud Computing Engineering Student,Study completion project,"-Developing a monitoring solution for a system
Network using Nagios:
Using virtualization, we supervised a system.
network and these services in order to send notifications by email and SMS to the administrator in case of failure.",unckown,unckown,unckown
67,Student,Symfony Framework,Web development,JavaScript,Python (programming language),React.js,AngularJS,unckown,Cloud Computing & DevOps Engineer,Student,unckown,unckown,unckown,unckown
68,unckown,Symfony Framework,MySQL,PHP,Java,Python (programming language),Cascading Style Sheets (CSS),unckown,Cloud computing engineering student,unckown,unckown,unckown,unckown,unckown
69,Web Developer,GitHub,Spring MVC,HTML,Adobe Photoshop,English,Communication,"developed modern dashboard 
(MEAN Stack)","Cloud Computing, DevOps, Engineer Student,",Web Developer,"developed software for municipalities 
(angular, springboot & postgreSQL )",unckown,unckown,unckown
70,Student,Ansible,OpenStack,Docker,AWS CloudTraining,Kubernetes,Amazon EKS,unckown,Cloud Computing/DevOps Engineer Student ,unckown,unckown,unckown,unckown,unckown
71,Data Analyst ,Analytical skills,Investigator's brochure (BI),Iaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,Big data,Deep learning,Data mining,Automatic processing of CVs and profiles with Big Data (cv library),Business Intelligence: Data Analyst: Data Engineer:Cloud Computing.,Data Analyst,unckown,unckown,unckown,unckown
72,Trainee,unckown,unckown,unckown,unckown,unckown,unckown,unckown,IT Architecture and Cloud Computing Student,Chairwoman,unckown,unckown,unckown,unckown
73,Senior Software Craftsman and Cloud Architect,Google Cloud Platform (GCP),Cloud development,Data engineering,Information architecture,Drafting,IT audit,"Providing Cloud, Data and Architecture expertise to make innovation-drive structures three. Working with an innovative, a Cyber-Security Startup(Stealth mode), an innovative service provider for the Oil and Gas industry, a leader in network quality enforcement, a major bank, major markets, innovative document management specialized startup in the US, Oman, the Uk, France, Germany, and Tunisia","Senior Software Craftsman, Data engineer and Cloud Architect - WIP Entrepreneur",Chief Technology Officer,unckown,unckown,unckown,unckown
74,unckown,Vagrant,Nexus,Sonarqube,Jenkins,Hadoop,Spring Boot,unckown,Cloud Computing Engineering Student - ESPRIT,unckown,unckown,unckown,unckown,unckown
75,Engineering course,Jenkins,Continuous Integration and Continuous Delivery (CI/CD),Angular,Spring Boot,Symfony Framework,.NET framework,Implementation of a web application for the qualification of cloud providers in tunisia.,DevOps & Cloud computing engineering student,Study completion project,Setting up a network vulnerability scan solution using the OpenVas tool.,unckown,unckown,unckown
76,End of study internship,Amazon Web Services (AWS),Amazon EC2,Amazon EKS,Terraform,Gitlab,Hadoop,Skills : Amazon EC2 · Amazon EKS · Terraform · terragrunt · Gitlab,Cloud Computing & DevOps engineering student,Student,Skills : Hadoop,unckown,unckown,unckown
77,Cloud engineer and devops,Java,Cloud Computing,Git,Linux System Administration,MySQL,Ansible,unckown,Ops & Cloud Engineer at Chanel,Cloud engineer and devops,unckown,unckown,unckown,unckown
0,Computer Science Student,Team Management,Team Leadership,Video Editing,Cascading Style Sheets (CSS),HTML5,C++,unckown,--,Student Software Engineer,unckown,unckown,unckown,unckown
1,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
2,Data Scientist Internal,Optical Character Recognition (OCR),Convolutional Neural Networks (CNN),Deep Learning,Machine Learning,Native reaction,SAP CRM,"OCR Web service that detects, classifies the object and extracts data from formal documents in french and arabic",Data Science Student at ESPRIT,Data Scientist Internal,building a recommendation system using Machine learning and SAP to implement it in an E-commerce mobile application using React native,unckown,unckown,unckown
3,Student,Project management,Optical character recognition,SQL,Machine Learning,Deep learning,C#,unckown,Data scientist,Trainee,Skills: Optical character recognition · Python (programming language),unckown,unckown,unckown
4,Data Science Internal,MySQL,Transport Layer Security (TLS),Deep Learning,Git,Flutter,Data Analysis,Skills: Transport Layer Security (TLS) · Data Analysis · Python (Programming Language) · Machine Learning,Data Scientist,Deep Learning Instructor,Skills: Deep Learning · Git,unckown,unckown,unckown
5,AI Engineer Internal ,Data Analysis,Machine Learning,Deep Learning,Python (Programming Language),Data Visualization,unckown,unckown,Fresh Graduate Data Scientist的 Looking for a First Opportunity,Data Scientist Internal,"- Detection of road markings delimiting traffic lanes.
-Analysis and diagnosis of road infrastructure in France.
Technologies : Python : Tensorflow, Pytorch, CUDA, GITHUB.",unckown,unckown,unckown
6,Data Scientist,Python,Java,C++,C,MySQL,Unity,unckown,Data Scientist @ EY,Data science internship,unckown,unckown,unckown,unckown
7,unckown,Python (Programming Language),Machine Learning,Data Science,R (Programming Language),Deep Learning,Java,unckown,Data scientist,unckown,unckown,unckown,unckown,unckown
8,Internal,Python (programming language),Machine Learning,Deep learning,Git,TensorFlow,Keras,"This project consists in setting up a Decisional Information System (DIS) which designs all the means, tools and methods which allow the company to collect, reinforce, store, aggregate and restore important data in order to provide a real decision support.

-Skills and technology:
Python(machine learning),Talend (ETL), postgreSQL, PowerBi,Angular,Spring boot",Data Science Engineering - Data Scientist,Engineering Student,unckown,unckown,unckown,unckown
9,Student,Python (Programming Language),Machine Learning,SQL,Analytical Skills,Web Development,Music Theory,unckown,Data Scientist,Data Scientist,Skills: Python (Programming Language) · Machine Learning · SQL,unckown,unckown,unckown
10,Data Science Internal,Machine Learning,Deep Learning,Analytical Skills,Engineering,Web Development,Research,unckown,Junior Data Scientist at Esprit,unckown,unckown,unckown,unckown,unckown
11,Junior Data Scientist,c++,c/,java,Big Data,Algorithms,Computer Vision,unckown,Data scientist at Cytekia,University speaker ,"Design and implementation IA. via cloud solutions (Microsoft, Amazon,Google...)",unckown,unckown,unckown
